method,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
GreedyMini,0.37678,0.295779,0.245775,0.213284,0.186159,0.164666,0.149163,0.141413,0.131678,0.121342,0.112776,0.105291,0.0987671,0.0932428,0.088308,0.0843376,0.0809444,0.0778907,0.0750546,0.0724342,0.0700308,0.0678088,0.0657256,0.0637483,0.0618587,0.0600501,0.058324,0.0566821,0.0551223,0.0536384,0.052225,0.0508788,0.0495975,0.0483786,0.0472187,0.046114,0.0450606,0.0440549,0.0430936,0.0421738,0.041293,0.0404485,0.0396379,0.0388592,0.0381103,0.0373896,0.0366954,0.0360264,0.0353812,0.0347585,0.0341571,0.0335762,0.0330145,0.0324713,0.0319457,0.0314368,0.0309438,0.0304661,0.0300028,0.0295535,0.0291175,0.0286942,0.028283,0.0278835,0.0274951,0.0271175,0.0267501,0.0263925,0.0260445,0.0257055,0.0253752,0.0250534,0.0247397,0.0244337,0.0241353,0.0238441,0.0235599,0.0232824,0.0230114,0.0227467,0.022488,0.0222352,0.021988,0.0217463,0.0215099,0.0212786,0.0210523,0.0208308,0.0206139,0.0204014,0.0201934,0.0199896,0.0197899,0.0195942,0.0194023,0.0192142,0.0190297,0.0188487,0.0186712,0.018497,0.0183261,0.0181583,0.0179936,0.0178318,0.017673,0.017517,0.0173637,0.0172131,0.0170652,0.0169197,0.0167768,0.0166362,0.016498,0.0163621,0.0162285,0.016097,0.0159676,0.0158403,0.0157151,0.0155918,0.0154705,0.015351,0.0152334,0.0151176,0.0150036,0.0148912,0.0147806,0.0146716,0.0145642,0.0144583,0.014354,0.0142513,0.0141499,0.0140501,0.0139516,0.0138545,0.0137588,0.0136644,0.0135712,0.0134794,0.0133888,0.0132994,0.0132112,0.0131241,0.0130382,0.0129535,0.0128698,0.0127872,0.0127057,0.0126252,0.0125458,0.0124673,0.0123898,0.0123133,0.0122377,0.012163,0.0120893,0.0120164,0.0119445,0.0118734,0.0118031,0.0117337,0.011665,0.0115972,0.0115302,0.0114639,0.0113984,0.0113337,0.0112697,0.0112064,0.0111438,0.0110819,0.0110207,0.0109602,0.0109003,0.0108411,0.0107825,0.0107246,0.0106673,0.0106106,0.0105545,0.010499,0.0104441,0.0103897,0.0103359,0.0102827,0.01023,0.0101779,0.0101262,0.0100752,0.0100246,0.0099745,0.00992493,0.00987585,0.00982726,0.00977914,0.00973149,0.00968431
decycling,0.49987,0.399611,0.33241,0.283533,0.245403,0.213671,0.186971,0.165084,0.147646,0.133968,0.122422,0.112811,0.104752,0.0979767,0.0922417,0.0873528,0.0830996,0.0793661,0.0760848,0.0731427,0.0704562,0.0679672,0.0656511,0.0634914,0.061483,0.0596341,0.0579295,0.0563359,0.0548028,0.0533543,0.0519642,0.0506419,0.0493563,0.0481647,0.0470365,0.0459587,0.0449238,0.0439373,0.042992,0.0420787,0.0412239,0.0403926,0.0395911,0.0388173,0.0380694,0.0373557,0.0366715,0.0359987,0.0353593,0.0347431,0.0341538,0.0335811,0.0330313,0.0324932,0.0319705,0.0314665,0.0309815,0.0305106,0.0300539,0.0296094,0.0291692,0.0287492,0.0283404,0.0279356,0.0275526,0.027171,0.0268063,0.0264514,0.0261167,0.0257785,0.0254468,0.0251266,0.0248104,0.024507,0.0242153,0.0239253,0.0236524,0.023372,0.0231057,0.0228434,0.0225849,0.022327,0.0220817,0.0218442,0.0216078,0.0213799,0.0211488,0.0209243,0.0207059,0.020497,0.0202897,0.0200849,0.0198743,0.0196817,0.0194903,0.0193044,0.0191171,0.0189397,0.0187604,0.0185878,0.0184123,0.0182459,0.0180823,0.0179165,0.0177609,0.0176044,0.0174515,0.0172982,0.017152,0.0170088,0.0168629,0.0167227,0.0165809,0.0164447,0.0163116,0.0161808,0.0160523,0.015917,0.0157916,0.015667,0.0155395,0.0154242,0.0153061,0.0151885,0.0150721,0.014959,0.0148511,0.0147433,0.0146357,0.0145323,0.0144282,0.0143308,0.0142272,0.0141293,0.0140345,0.0139404,0.0138438,0.0137494,0.0136554,0.0135591,0.0134652,0.0133747,0.0132844,0.0131936,0.0131155,0.0130307,0.012949,0.0128714,0.0127926,0.0127065,0.0126279,0.0125467,0.0124655,0.0123883,0.0123064,0.0122263,0.012149,0.0120755,0.0120019,0.0119333,0.0118623,0.0117874,0.0117151,0.0116444,0.0115763,0.0115064,0.0114401,0.0113789,0.0113158,0.0112497,0.0111875,0.0111267,0.0110613,0.0109954,0.0109343,0.0108761,0.0108211,0.0107632,0.0107038,0.0106464,0.0105953,0.0105399,0.0104839,0.0104286,0.0103714,0.0103147,0.0102628,0.0102096,0.0101599,0.0101064,0.0100554,0.0100047,0.00995141,0.00990571,0.00985581,0.00980931,0.00975971,0.00971371
double decycling,0.496654,0.389616,0.312097,0.25541,0.216312,0.18838,0.166723,0.149105,0.134701,0.123231,0.114021,0.10647,0.100078,0.0945983,0.0898254,0.0856359,0.0819087,0.0785515,0.0755321,0.0727758,0.0702083,0.0678051,0.0655462,0.0634218,0.0614388,0.0596039,0.0579087,0.0563216,0.0547931,0.0533481,0.0519591,0.050638,0.0493539,0.0481638,0.0470359,0.0459585,0.0449234,0.0439371,0.0429916,0.0420784,0.041224,0.0403926,0.039591,0.0388172,0.0380694,0.0373558,0.0366716,0.0359987,0.0353593,0.0347431,0.0341538,0.0335811,0.0330313,0.0324932,0.0319705,0.0314665,0.0309815,0.0305106,0.0300539,0.0296094,0.0291692,0.0287492,0.0283404,0.0279356,0.0275526,0.027171,0.0268063,0.0264514,0.0261167,0.0257785,0.0254468,0.0251266,0.0248104,0.024507,0.0242153,0.0239253,0.0236524,0.023372,0.0231057,0.0228434,0.0225849,0.022327,0.0220817,0.0218442,0.0216078,0.0213799,0.0211488,0.0209243,0.0207059,0.020497,0.0202897,0.0200849,0.0198743,0.0196817,0.0194903,0.0193044,0.0191171,0.0189397,0.0187604,0.0185878,0.0184123,0.0182459,0.0180823,0.0179165,0.0177609,0.0176044,0.0174515,0.0172982,0.017152,0.0170088,0.0168629,0.0167227,0.0165809,0.0164447,0.0163116,0.0161808,0.0160523,0.015917,0.0157916,0.015667,0.0155395,0.0154242,0.0153061,0.0151885,0.0150721,0.014959,0.0148511,0.0147433,0.0146357,0.0145323,0.0144282,0.0143308,0.0142272,0.0141293,0.0140345,0.0139404,0.0138438,0.0137494,0.0136554,0.0135591,0.0134652,0.0133747,0.0132844,0.0131936,0.0131155,0.0130307,0.012949,0.0128714,0.0127926,0.0127065,0.0126279,0.0125467,0.0124655,0.0123883,0.0123064,0.0122263,0.012149,0.0120755,0.0120019,0.0119333,0.0118623,0.0117874,0.0117151,0.0116444,0.0115763,0.0115064,0.0114401,0.0113789,0.0113158,0.0112497,0.0111875,0.0111267,0.0110613,0.0109954,0.0109343,0.0108761,0.0108211,0.0107632,0.0107038,0.0106464,0.0105953,0.0105399,0.0104839,0.0104286,0.0103714,0.0103147,0.0102628,0.0102096,0.0101599,0.0101064,0.0100554,0.0100047,0.00995141,0.00990571,0.00985581,0.00980931,0.00975971,0.00971371
miniception,0.45249,0.355406,0.293058,0.248733,0.216175,0.192811,0.177205,0.164318,0.152792,0.142532,0.133324,0.124933,0.117312,0.110287,0.104544,0.0993448,0.0946571,0.0903703,0.0864532,0.0828287,0.0795386,0.076488,0.0736763,0.0710389,0.0686071,0.0662986,0.0641475,0.0621347,0.0602634,0.0584633,0.0567919,0.0552267,0.0537232,0.0523188,0.0509627,0.0497017,0.0484842,0.0473384,0.0462427,0.0451892,0.0441797,0.043236,0.0423158,0.041436,0.0405997,0.0397921,0.0390172,0.0382596,0.0375384,0.0368357,0.0361645,0.0355053,0.0348783,0.0342949,0.0337089,0.0331471,0.0325928,0.032072,0.0315678,0.031066,0.0305843,0.0301231,0.0296699,0.0292314,0.0288019,0.0283939,0.0280027,0.0276088,0.027238,0.0268777,0.0265273,0.0261814,0.0258453,0.025513,0.0251957,0.0248787,0.0245669,0.0242748,0.0239835,0.023713,0.0234418,0.0231717,0.0229076,0.0226489,0.0223887,0.0221481,0.02192,0.0216745,0.0214416,0.0212164,0.0209878,0.0207709,0.0205488,0.0203405,0.0201427,0.0199492,0.0197497,0.0195644,0.0193816,0.0191958,0.0190123,0.0188291,0.0186535,0.018483,0.018309,0.0181448,0.0179818,0.0178233,0.0176617,0.0174987,0.0173527,0.0172032,0.0170578,0.0169144,0.0167737,0.0166329,0.0165043,0.0163612,0.0162266,0.0160942,0.0159653,0.0158312,0.0157104,0.015586,0.015465,0.0153471,0.0152297,0.0151109,0.0150014,0.0148926,0.0147774,0.0146699,0.014564,0.0144643,0.0143559,0.0142551,0.0141552,0.0140547,0.0139629,0.0138637,0.0137659,0.0136732,0.0135789,0.0134876,0.0133974,0.0133109,0.0132284,0.0131417,0.0130583,0.0129736,0.0128892,0.0128088,0.0127205,0.0126407,0.0125614,0.0124834,0.0124064,0.0123308,0.0122551,0.0121793,0.0121052,0.0120346,0.0119634,0.011893,0.01182,0.0117504,0.0116825,0.0116159,0.0115461,0.0114815,0.0114178,0.0113537,0.0112904,0.0112272,0.0111671,0.0111072,0.0110512,0.0109912,0.0109279,0.0108674,0.0108062,0.0107509,0.0106936,0.0106389,0.01058,0.0105183,0.0104564,0.0104018,0.0103432,0.0102883,0.0102339,0.01018,0.0101245,0.0100725,0.0100222,0.00997021,0.00992081,0.00987151
mod-minimizer,0.399616,0.309457,0.272824,0.230215,0.19966,0.178321,0.200022,0.181827,0.166702,0.153886,0.14292,0.133429,0.125092,0.117758,0.111212,0.105274,0.0999959,0.0952713,0.0909518,0.0869796,0.0833632,0.0800477,0.0769705,0.0740936,0.0714433,0.0689701,0.0666745,0.0645392,0.0625181,0.060624,0.0588608,0.0571708,0.0555711,0.0540716,0.0526381,0.0512713,0.0499901,0.0487803,0.0475897,0.0464824,0.0454166,0.0444093,0.0434628,0.0425527,0.0416638,0.0408021,0.0399888,0.0391897,0.0384364,0.0377004,0.0370138,0.0363357,0.0356816,0.035063,0.0344566,0.0338629,0.0333056,0.0327466,0.0322197,0.0317217,0.0312194,0.0307384,0.0302608,0.0298239,0.029388,0.028957,0.0285418,0.0281448,0.0277446,0.0273632,0.0269793,0.0266171,0.0262628,0.0259188,0.0255928,0.0252698,0.02495,0.0246356,0.0243307,0.024044,0.0237622,0.0234783,0.0232105,0.02295,0.0226937,0.0224319,0.0221821,0.0219429,0.0217001,0.0214659,0.0212411,0.0210208,0.0208014,0.0205891,0.0203843,0.0201784,0.0199709,0.0197671,0.0195724,0.0193867,0.0192047,0.0190315,0.0188541,0.0186791,0.0185025,0.0183301,0.018158,0.0179897,0.0178276,0.0176753,0.0175222,0.0173706,0.0172195,0.0170711,0.0169247,0.0167856,0.0166436,0.0165093,0.0163722,0.0162417,0.0161089,0.0159786,0.0158447,0.0157237,0.0156029,0.0154794,0.0153682,0.015251,0.0151324,0.0150173,0.0149002,0.0147851,0.014672,0.0145657,0.0144611,0.0143569,0.0142516,0.0141492,0.0140478,0.0139488,0.013848,0.0137506,0.0136612,0.0135695,0.0134805,0.0133901,0.0132995,0.0132113,0.0131243,0.0130431,0.0129561,0.0128727,0.0127931,0.0127155,0.0126372,0.0125556,0.012482,0.0124063,0.0123336,0.0122574,0.0121829,0.0121117,0.0120403,0.0119664,0.0118945,0.0118241,0.0117523,0.0116834,0.0116188,0.0115458,0.0114818,0.0114159,0.0113512,0.0112882,0.0112253,0.0111629,0.0111022,0.0110401,0.0109806,0.0109177,0.0108586,0.0107995,0.0107456,0.0106874,0.010631,0.0105748,0.0105159,0.0104607,0.0104079,0.0103576,0.0103052,0.0102543,0.0102035,0.0101477,0.0100963,0.0100413,0.00999221,0.00994411
open-close-syncmer,0.411119,0.318737,0.273784,0.237721,0.207221,0.181096,0.162854,0.14808,0.135941,0.12598,0.117708,0.110615,0.104485,0.0990472,0.0942258,0.0898953,0.0859462,0.0823578,0.0790751,0.0760723,0.0732692,0.0706712,0.0682596,0.0660078,0.0639149,0.0619384,0.060119,0.0583164,0.0566763,0.0551011,0.0536092,0.0522042,0.0508595,0.0496068,0.0484086,0.0472641,0.0461504,0.0451063,0.0441135,0.0431596,0.0422629,0.0413944,0.0405391,0.0397237,0.0389491,0.0381855,0.0374658,0.0367903,0.0361145,0.0354817,0.0348619,0.0342758,0.0336986,0.0331382,0.0326045,0.032084,0.0315809,0.0310898,0.0306142,0.0301514,0.0297091,0.0292782,0.0288526,0.0284402,0.0280374,0.0276429,0.0272684,0.0269046,0.0265434,0.0261874,0.0258515,0.0255231,0.0251863,0.0248796,0.0245722,0.024278,0.0239882,0.0236987,0.0234246,0.0231584,0.0228954,0.0226343,0.0223856,0.0221418,0.0218933,0.0216707,0.02144,0.0212147,0.0209869,0.0207719,0.020564,0.0203565,0.0201534,0.0199469,0.0197485,0.0195498,0.0193596,0.0191759,0.019006,0.0188333,0.0186561,0.0184858,0.0183143,0.018155,0.0179935,0.0178327,0.017674,0.0175171,0.0173616,0.0172163,0.0170745,0.0169259,0.016781,0.0166349,0.016496,0.0163675,0.016232,0.0161019,0.0159777,0.0158511,0.0157306,0.0156058,0.0154845,0.0153651,0.0152478,0.0151301,0.0150176,0.0149115,0.0148009,0.0146902,0.0145761,0.014465,0.0143603,0.0142559,0.0141557,0.0140552,0.0139576,0.0138625,0.0137709,0.0136803,0.0135835,0.0134923,0.0134049,0.0133157,0.0132319,0.0131419,0.0130529,0.0129693,0.0128859,0.0128003,0.0127198,0.012639,0.0125609,0.0124814,0.01241,0.0123319,0.0122555,0.0121821,0.0121022,0.012027,0.011955,0.0118847,0.0118165,0.011748,0.0116758,0.0116085,0.0115418,0.0114789,0.0114169,0.0113515,0.011287,0.0112262,0.0111632,0.0111024,0.0110427,0.0109795,0.0109213,0.0108594,0.0108037,0.0107481,0.0106905,0.0106315,0.0105742,0.0105174,0.0104623,0.0104066,0.0103532,0.0102988,0.0102451,0.0101913,0.010141,0.0100917,0.01004,0.00999101,0.00994471,0.00989501,0.00984681,0.00980121
GreedyMini 1,,,,,,,,,,,,,,,,,,0.0766691,0.0736057,0.0707868,0.0682096,0.0658471,0.0636663,0.06164,0.0597461,0.0579667,0.0562896,0.0547068,0.0532126,0.0518003,0.0504621,0.0491914,0.0479829,0.0468324,0.045736,0.0446904,0.0436922,0.0427381,0.0418253,0.040951,0.0401128,0.0393087,0.0385365,0.0377944,0.0370807,0.0363937,0.035732,0.035094,0.0344787,0.0338848,0.0333111,0.0327568,0.0322207,0.031702,0.0311999,0.0307135,0.0302422,0.0297852,0.029342,0.0289118,0.0284941,0.0280885,0.0276942,0.027311,0.0269383,0.0265757,0.0262228,0.0258792,0.0255445,0.0252185,0.0249007,0.0245909,0.0242887,0.0239939,0.0237063,0.0234255,0.0231513,0.0228835,0.0226218,0.0223661,0.0221162,0.0218718,0.0216328,0.021399,0.0211702,0.0209463,0.0207271,0.0205125,0.0203023,0.0200963,0.0198946,0.0196969,0.0195031,0.0193131,0.0191268,0.018944,0.0187648,0.0185889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GreedyMini 2,,,,,,,,,,,,,,,,,,,,,,,0.0633473,0.0612831,0.0593583,0.0575544,0.0558586,0.0542628,0.0527606,0.0513441,0.0500045,0.0487348,0.0475294,0.0463833,0.0452926,0.0442535,0.0432623,0.0423156,0.0414103,0.0405436,0.0397131,0.0389166,0.0381521,0.0374175,0.0367112,0.0360315,0.0353769,0.0347459,0.0341374,0.0335502,0.032983,0.032435,0.0319051,0.0313925,0.0308962,0.0304156,0.0299498,0.0294983,0.0290603,0.0286352,0.0282226,0.0278217,0.0274322,0.0270536,0.0266853,0.026327,0.0259783,0.0256388,0.0253081,0.0249859,0.0246719,0.0243657,0.0240671,0.0237758,0.0234915,0.0232139,0.0229429,0.0226782,0.0224195,0.0221668,0.0219197,0.0216781,0.0214417,0.0212106,0.0209843,0.0207629,0.0205461,0.0203339,0.020126,0.0199223,0.0197228,0.0195272,0.0193355,0.0191475,0.0189632,0.0187824,0.018605,0.018431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GreedyMini 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0542142,0.0527105,0.051293,0.049953,0.0486833,0.0474782,0.0463329,0.0452431,0.0442049,0.0432148,0.0422693,0.0413652,0.0404998,0.0396705,0.0388753,0.038112,0.0373787,0.0366736,0.0359951,0.0353416,0.0347118,0.0341044,0.0335182,0.0329521,0.0324051,0.0318761,0.0313644,0.0308691,0.0303893,0.0299244,0.0294736,0.0290364,0.0286121,0.0282001,0.0277999,0.0274111,0.027033,0.0266654,0.0263077,0.0259595,0.0256205,0.0252904,0.0249687,0.0246551,0.0243494,0.0240512,0.0237603,0.0234763,0.0231992,0.0229285,0.0226642,0.0224059,0.0221534,0.0219066,0.0216653,0.0214293,0.0211984,0.0209724,0.0207513,0.0205348,0.0203227,0.0201151,0.0199116,0.0197123,0.0195169,0.0193254,0.0191376,0.0189535,0.0187729,0.0185957,0.0184219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
