k,w,double_decycling_dna_mean,double_decycling_dna_std,double_decycling_dna_min,double_decycling_dna_max,one_zero_dna_mean,one_zero_dna_std,one_zero_dna_min,one_zero_dna_max,abb_plus_dna_mean,abb_plus_dna_std,abb_plus_dna_min,abb_plus_dna_max,miniception_dna_mean,miniception_dna_std,miniception_dna_min,miniception_dna_max,open_closed_dna_mean,open_closed_dna_std,open_closed_dna_min,open_closed_dna_max
16,72,1.8448552852097326,0.0024551166123348168,1.8410302229119753,1.8471255034818748,1.7977281817854558,0.0033362474445385614,1.7923409757248738,1.800808670887848,1.8144445799951203,0.0031815257927955386,1.8096778515973424,1.8184740349347424,1.95894287805639,0.004491311253267752,1.9523877140422945,1.9635928106588163,1.8694408001311955,0.004565006677914363,1.8645353767264379,1.874682011447588
30,90,1.7661395237214328,0.0028506201106764384,1.7633641486133125,1.7708713107910143,1.8214377353019113,0.0033969333269274413,1.8165512551935163,1.8258783354749035,1.8384539695713695,0.005371514565873038,1.83006414711338,1.8439865206065729,1.933690283937223,0.005272327403476393,1.926701798419071,1.93862226199821,1.785112169952352,0.001060697702249006,1.784020219090141,1.7862951167197476
22,93,1.8298317128253536,0.004558376161233375,1.824361167205725,1.836862585889756,1.8257523025179332,0.004902955641593963,1.8190504141557418,1.832679780390212,1.8421545398138985,0.0051307968592581394,1.8350296711202927,1.8489410242423727,1.9526464019423095,0.00514766614936247,1.9443465878836634,1.9569890000114993,1.8495613953951142,0.002472058243062758,1.8464971378830883,1.8529358384835106
17,40,1.721317773644527,0.0027087631081661916,1.7182141357172855,1.7239745205095898,1.7276644467110658,0.0023117775845090407,1.7243640127197455,1.729632407351853,1.7573068538629226,0.001540882061141942,1.7558513829723406,1.759582308353833,1.9289622207555848,0.004711307988149612,1.9221645567088659,1.933562328753425,1.7645842083158336,0.0015247754347657947,1.7627597448051038,1.7665931681366374
16,79,1.8570226476054195,0.0020034377720477997,1.8543667525132757,1.8595665471213887,1.8090805413186182,0.004476732817460726,1.801288849090461,1.8120484240872488,1.8229279943442234,0.003935019276964157,1.8170082281749873,1.8274878142313378,1.9627544711983878,0.005055838268929325,1.9561227331520405,1.9696421991331343,1.8806617138623025,0.0058681649220916985,1.8758059056667262,1.8881254190459476
25,77,1.7725597564493767,0.0031925219945597937,1.7679189351209978,1.776927588287851,1.8034075688086009,0.003675078298831437,1.7973238030335832,1.8066834426874565,1.8221892457140398,0.0050639967090395106,1.8144831423990178,1.8275476394158825,1.9362520542959096,0.005863901182496072,1.930893660594067,1.9452451080633397,1.7966452291586772,0.0021265091337994307,1.793774939664823,1.7996637129470514
9,62,1.9022260309930392,0.001864438883807497,1.8991391266870727,1.9039269782636736,1.8030356058962174,0.0037361214752945995,1.7989407328372822,1.808957422319908,1.8024686234726723,0.003677097844359773,1.7992872220961151,1.8082329447787118,1.9823406474399292,0.0036967160612995354,1.9777291903950978,1.987399390618891,1.9360370828504316,0.0015925863932655148,1.9340715437821427,1.9380404207469568
13,80,1.882891184352626,0.003552564436105534,1.8791248350065997,1.8872650093996242,1.8132339706411744,0.004799613363081111,1.805134294628215,1.8175672973081076,1.8226214951401947,0.0029742744839960132,1.8181342746290148,1.8260719571217152,1.97480630774769,0.005758792749042471,1.9662368505259789,1.980613775448982,1.911045658173673,0.004236815796990814,1.9056107755689773,1.9169908203671853
9,83,1.9259728721258067,0.002679771846618404,1.9223442227147574,1.9288539525609687,1.840002439898744,0.0029226683356313576,1.835785814888682,1.8439754750177868,1.8376589371541079,0.0027574662439344365,1.835533825346248,1.8420435551924597,1.9857615908939779,0.006017633617024507,1.978159906363886,1.9922293224831171,1.9523225786129879,0.004456112054271757,1.9458212484181907,1.9569087882852862
23,74,1.7842364832501196,0.0042645172444441,1.77750923215841,1.7879338464476813,1.7986884485274044,0.002778239786596179,1.7948335911571272,1.801845831704227,1.8193276848756597,0.004031440938617849,1.8130954154696275,1.8233700353086937,1.9391732505897281,0.004038497858395606,1.9348534104238142,1.9446030496871616,1.8107330028788937,0.002859745584154034,1.8084830861258134,1.8152328363850538
10,25,1.759494206322421,0.002409491037110636,1.7570320370995363,1.7632199597505032,1.688582692716341,0.0014515527977074848,1.6866379170260373,1.690030874614067,1.7197875026562168,0.002799873482228754,1.7168495393807577,1.7240254496818792,1.950695816302296,0.0014447844180443242,1.9487406407419907,1.9524195947550658,1.820767640404495,0.0019267715194614388,1.8188332645841927,1.82355220559743
18,24,1.586993456078527,0.0013009155459160857,1.5858559697283632,1.5892059295288457,1.6754573945112656,0.0004681523416258715,1.6748924012911843,1.6761923856913719,1.7286942556689318,0.001977770966660498,1.726904277148674,1.7316292204493549,1.8950647592228893,0.0021780428190060473,1.8915398015223819,1.897064735223177,1.6368553577357072,0.001042857623836913,1.6350928788854535,1.6377303472358333
